ID_Vaca,Fecha_Control,Litros_Leche,Temp_Corporal,Estado_Salud
VACA-138,2026-03-11,17.6,39.0,Tratamiento
VACA-112,2026-03-02,16.6,38.2,Saludable
VACA-133,2026-03-16,15.4,38.1,En Observacion
VACA-129,2026-03-15,23.1,37.5,Tratamiento
VACA-137,2026-03-24,38.7,37.9,Tratamiento
VACA-111,2026-03-13,19.9,39.4,Tratamiento
VACA-142,2026-03-26,38.2,37.6,En Observacion
VACA-110,2026-03-21,22.0,38.2,Saludable
VACA-110,2026-03-14,35.7,38.0,En Observacion
VACA-111,2026-03-28,27.0,37.8,Tratamiento
VACA-137,2026-03-19,18.1,39.2,Saludable
VACA-119,2026-03-27,30.5,38.5,Saludable
VACA-120,2026-03-12,17.2,37.7,En Observacion
VACA-119,2026-03-26,32.4,39.4,En Observacion
VACA-129,2026-03-23,22.8,39.2,Saludable
VACA-133,2026-03-26,34.1,38.7,En Observacion
VACA-123,2026-03-27,36.3,38.6,Saludable
VACA-121,2026-03-21,27.1,37.8,Saludable
VACA-111,2026-03-26,21.6,38.0,Saludable
VACA-121,2026-03-27,18.5,38.9,En Observacion
VACA-132,2026-03-26,18.7,38.6,Saludable
VACA-149,2026-03-14,29.3,39.1,Saludable
VACA-112,2026-03-11,27.9,37.8,En Observacion
VACA-138,2026-03-01,38.9,39.4,Saludable
VACA-142,2026-03-26,0.04,39.1,Saludable
VACA-111,2026-03-27,22.2,38.1,Saludable
VACA-138,2026-03-20,36.0,38.1,Saludable
VACA-111,2026-03-26,26.2,39.0,En Observacion
VACA-120,2026-03-26,20.8,38.7,En Observacion
VACA-149,2026-03-26,35.9,37.7,En Observacion
VACA-132,2026-03-27,37.9,39.3,Saludable
VACA-137,2026-03-26,27.7,38.9,En Observacion
VACA-138,2026-03-06,33.1,38.7,En Observacion
VACA-142,2026-03-05,32.4,37.7,Saludable
VACA-147,2026-03-25,25.4,39.4,Saludable
VACA-138,2026-03-16,33.8,37.6,En Observacion
VACA-147,2026-03-26,35.1,39.3,En Observacion
VACA-138,2026-03-21,15.7,38.6,En Observacion
VACA-138,2026-03-27,34.5,37.7,Tratamiento
VACA-149,2026-03-07,36.5,38.8,Tratamiento
VACA-137,2026-03-03,27.2,37.6,Saludable
VACA-138,2026-03-26,36.2,39.0,En Observacion
VACA-137,2026-03-26,39.0,37.5,Saludable
VACA-111,2026-03-15,37.6,38.4,Tratamiento
VACA-138,2026-03-20,15.9,39.0,Saludable
VACA-137,2026-03-18,34.0,39.1,En Observacion
VACA-147,2026-03-18,38.0,38.7,Tratamiento
VACA-123,2026-03-15,29.1,38.6,Saludable
VACA-147,2026-03-05,23.8,38.5,Saludable
VACA-110,2026-03-24,15.2,37.8,En Observacion
VACA-137,2026-03-17,27.3,39.2,Tratamiento
VACA-147,2026-03-11,31.3,37.8,En Observacion
VACA-139,2026-03-26,26.5,38.8,Saludable
VACA-138,2026-03-04,31.8,38.2,Saludable
VACA-100,2026-03-13,17.2,37.9,Saludable
VACA-123,2026-03-28,36.3,39.5,En Observacion
VACA-142,2026-03-23,21.4,39.3,Saludable
VACA-120,2026-03-26,32.6,38.0,Tratamiento
VACA-138,2026-03-26,21.1,38.5,En Observacion
VACA-138,2026-03-26,31.7,37.8,En Observacion
VACA-120,2026-03-11,20.6,38.5,Saludable
